Trajectories
100
		HTCvive:vive1			HTCvive:vive2			HTCvive:vive3			HTCvive:vive4			HTCvive:vive5			
Frame	Sub Frame	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
		mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm	mm
1	0	-123.708	493.071	18.1819	-189.592	407.509	21.6799	-144.837	399.374	23.3445	-195.067	477.318	18.0498	-163.482	450.671	19.5389
2	0	-123.262	492.949	17.6616	-189.627	407.533	21.6675	-144.84	399.414	23.3741	-195.051	477.322	18.0707	-163.344	452.149	20.3135
3	0	-124.013	493.212	17.6965	-189.595	407.555	21.6778	-144.849	399.36	23.3442	-195.05	477.336	18.0441	-163.423	450.618	19.4441
4	0	-123.672	493.07	17.2148	-189.587	407.537	21.703	-145.071	400.328	23.5381	-195.094	477.353	18.0819	-163.476	450.706	19.5535
5	0	-124.025	493.171	17.6871	-189.614	407.53	21.7076	-144.836	399.385	23.3274	-195.071	477.342	18.0737	-163.426	450.572	19.3926
6	0	-123.761	493.087	17.4221	-189.605	407.513	21.683	-144.874	399.339	23.3017	-195.237	478.235	18.3544	-163.434	450.62	19.407
7	0	-123.662	493.015	18.0171	-189.628	407.517	21.7091	-144.833	399.336	23.2686	-195.2	478.243	18.3298	-163.482	450.764	19.5524
8	0	-123.656	492.991	18.0633	-189.613	407.527	21.6873	-144.826	399.291	23.2344	-195.204	478.217	18.3291	-163.41	450.634	19.4241
9	0	-123.327	492.962	17.5649	-189.64	407.476	21.6362	-144.896	399.287	23.2011	-195.102	477.373	18.0222	-163.376	451.896	20.0734
10	0	-123.858	493.059	17.5913	-189.625	407.48	21.6909	-144.833	399.254	23.2048	-195.031	477.287	17.9634	-163.362	450.629	19.366
11	0	-123.332	492.864	17.5866	-189.631	407.466	21.6518	-144.893	399.229	23.1742	-195.17	478.162	18.2585	-163.311	450.843	19.4381
12	0	-123.549	492.971	17.8214	-189.644	407.464	21.655	-144.908	399.215	23.1445	-195.087	477.298	17.9678	-163.257	451.834	19.9242
13	0	-124.144	492.641	18.129	-189.658	407.483	21.6516	-144.889	399.219	23.1595	-195.082	477.331	18.0167	-163.472	450.81	19.5012
14	0	-123.633	492.959	17.164	-189.631	407.431	21.6244	-144.833	399.23	23.1262	-195.075	477.329	17.9579	-163.423	450.81	19.4833
15	0	-123.732	492.84	17.8976	-189.621	407.425	21.6143	-144.88	399.238	23.1207	-195.205	478.047	18.2384	-163.432	450.57	19.2588
16	0	-123.703	492.859	17.8989	-189.607	407.459	21.6206	-144.888	399.224	23.1061	-195.214	478.058	18.2616	-163.338	450.818	19.4226
17	0	-123.871	493.012	17.5257	-189.63	407.446	21.626	-144.841	399.215	23.14	-195.231	478.066	18.257	-163.275	450.842	19.4539
18	0	-123.727	492.95	17.2352	-189.621	407.446	21.6197	-144.896	399.211	23.1205	-195.086	477.309	17.9611	-163.365	450.643	19.3249
19	0	-123.807	493.016	17.4322	-189.652	407.421	21.611	-144.885	399.222	23.1254	-195.202	478.044	18.2515	-163.289	450.805	19.422
20	0	-123.813	493.03	17.4823	-189.648	407.455	21.636	-144.907	399.228	23.1385	-195.096	477.351	17.9977	-163.41	450.536	19.2261
21	0	-123.881	492.999	17.5562	-189.636	407.427	21.5807	-144.893	399.227	23.1371	-195.203	477.995	18.1944	-163.258	450.863	19.4141
22	0	-123.658	492.854	17.9617	-189.658	407.457	21.6299	-145.079	399.845	23.3041	-195.029	477.364	17.9799	-163.368	450.797	19.4264
23	0	-123.666	492.957	17.305	-189.641	407.453	21.6693	-144.866	399.204	23.1316	-195.227	478.046	18.2516	-163.294	451.531	19.7592
24	0	-123.444	492.853	17.6291	-189.644	407.446	21.6233	-144.852	399.219	23.1285	-195.072	477.325	18.0178	-163.234	451.863	19.9906
25	0	-123.661	492.965	17.3004	-189.637	407.45	21.6061	-144.887	399.181	23.1114	-195.196	478.014	18.2032	-163.439	450.762	19.4383
26	0	-123.685	492.918	17.3173	-189.661	407.452	21.6008	-144.901	399.187	23.1228	-195.082	477.309	17.9883	-163.397	450.564	19.2628
27	0	-123.771	492.888	18.0794	-189.615	407.456	21.6139	-144.888	399.19	23.0954	-195.054	477.285	17.9527	-163.312	450.693	19.3215
28	0	-123.808	493.069	17.5784	-189.613	407.451	21.6139	-144.86	399.208	23.1397	-195.069	477.336	17.9821	-163.406	450.66	19.3337
29	0	-123.857	493.024	17.6396	-189.645	407.441	21.6234	-144.843	399.209	23.1169	-195.26	478.025	18.2516	-163.335	450.834	19.4436
30	0	-123.629	492.949	17.3259	-189.635	407.461	21.6067	-144.907	399.194	23.1235	-195.048	477.317	17.9653	-163.309	450.566	19.1995
31	0	-123.744	492.87	17.9534	-189.643	407.44	21.6433	-144.964	398.962	22.8718	-195.267	478.044	18.2575	-163.296	450.669	19.3434
32	0	-123.897	492.991	17.6597	-189.679	407.449	21.6153	-144.807	399.124	23.0101	-195.212	478.065	18.2532	-163.182	451.878	19.9507
33	0	-123.834	493.013	17.5953	-189.613	407.466	21.6175	-144.839	399.12	23.0266	-195.214	478.08	18.2725	-163.223	450.858	19.4249
34	0	-123.847	493.022	17.5837	-189.603	407.439	21.594	-144.866	399.113	23.0248	-195.09	477.358	17.9988	-163.456	450.826	19.5049
35	0	-123.524	492.999	17.1942	-189.632	407.444	21.6488	-144.866	399.109	23.033	-195.181	478.039	18.2081	-163.161	450.925	19.4475
36	0	-123.701	492.976	17.4236	-189.626	407.433	21.639	-144.878	399.124	23.0081	-195.111	477.327	18.0059	-163.403	450.575	19.3014
37	0	-123.829	493.01	17.5779	-189.604	407.444	21.6057	-144.874	399.135	23.0508	-195.186	478.037	18.2378	-163.527	450.788	19.5278
38	0	-123.641	492.988	17.2495	-189.642	407.433	21.5984	-144.825	399.165	23.0715	-195.065	477.308	17.9352	-163.175	450.928	19.4273
39	0	-123.625	492.989	17.2115	-189.623	407.425	21.623	-144.865	399.136	23.0667	-195.227	478.059	18.258	-163.257	450.879	19.4304
40	0	-123.545	492.938	17.84	-189.62	407.442	21.6273	-144.846	399.155	23.0739	-195.249	478.042	18.2395	-163.479	451.714	19.9455
41	0	-123.629	492.922	17.8764	-189.626	407.46	21.6362	-144.847	399.178	23.0913	-195.101	477.336	18.0005	-163.376	450.819	19.4906
42	0	-123.696	492.943	17.3897	-189.65	407.439	21.6052	-144.865	399.207	23.1058	-195.206	478.049	18.2405	-163.318	450.65	19.281
43	0	-123.852	493.016	17.6702	-189.652	407.445	21.6284	-145.008	399.834	23.2986	-195.231	478.07	18.2657	-163.357	450.825	19.4463
44	0	-123.509	492.983	17.8113	-189.646	407.449	21.6389	-144.853	399.183	23.1135	-195.167	478.073	18.2472	-163.281	450.684	19.3397
45	0	-123.444	492.845	17.6325	-189.637	407.443	21.6318	-144.87	399.214	23.1282	-195.077	477.334	17.9809	-163.228	450.884	19.4411
46	0	-123.526	492.917	17.8043	-189.645	407.46	21.6452	-144.914	399.244	23.1207	-195.21	478.056	18.2599	-163.286	450.858	19.4689
47	0	-123.379	492.857	17.5823	-189.634	407.476	21.6466	-144.875	399.234	23.1302	-195.192	478.001	18.2093	-163.252	451.704	19.8713
48	0	-123.484	492.945	17.7435	-189.592	407.497	21.6191	-144.854	399.235	23.1503	-195.11	477.322	18.0369	-163.302	450.704	19.3312
49	0	-123.717	492.862	17.929	-189.618	407.424	21.6317	-144.913	399.204	23.1364	-195.056	477.3	17.9554	-163.445	450.816	19.4979
50	0	-123.541	492.958	17.8143	-189.649	407.447	21.6175	-144.886	399.236	23.1411	-195.195	478.052	18.226	-163.568	450.799	19.5055
51	0	-123.721	493.029	17.4215	-189.636	407.432	21.6188	-144.892	399.247	23.1093	-195.191	478.039	18.2253	-163.314	450.581	19.207
52	0	-123.631	492.932	17.8803	-189.662	407.471	21.6246	-144.873	399.229	23.1491	-195.077	477.308	17.9835	-163.255	450.857	19.4367
53	0	-123.658	492.943	17.3177	-189.626	407.463	21.6425	-144.867	399.237	23.1355	-195.11	477.343	18.0197	-163.292	450.738	19.3317
54	0	-123.825	493.016	17.6012	-189.624	407.468	21.6069	-144.875	399.198	23.1187	-195.212	478.024	18.2132	-163.451	450.572	19.2514
55	0	-123.586	492.883	17.8647	-189.651	407.446	21.67	-144.887	399.198	23.1395	-195.089	477.383	18.036	-163.246	451.888	19.9875
56	0	-123.72	492.866	18.034	-189.642	407.434	21.6269	-144.919	399.216	23.1244	-195.045	477.335	17.9674	-163.329	450.534	19.1755
57	0	-123.771	493.031	17.5272	-189.643	407.456	21.6233	-144.89	399.218	23.1191	-195.072	477.379	18.0105	-163.336	450.542	19.2262
58	0	-123.878	493.081	17.6103	-189.625	407.51	21.6428	-144.881	399.227	23.1468	-195.034	477.322	17.9803	-163.423	450.466	19.157
59	0	-123.617	492.9	17.8749	-189.605	407.488	21.6212	-144.849	399.211	23.1071	-195.051	477.331	17.9592	-163.165	451.917	19.9768
60	0	-123.758	492.848	17.988	-189.649	407.463	21.6365	-144.891	399.201	23.1145	-195.085	477.293	17.9558	-163.157	450.879	19.4058
61	0	-123.283	492.889	17.4741	-189.641	407.454	21.6115	-144.855	399.226	23.1363	-195.115	477.292	17.9647	-163.303	450.71	19.3265
62	0	-123.644	492.858	17.9044	-189.62	407.432	21.6039	-144.872	399.234	23.1141	-195.182	478.026	18.202	-163.378	450.663	19.2955
63	0	-123.636	492.927	17.3146	-189.664	407.456	21.6161	-144.911	399.228	23.1234	-195.164	478.047	18.205	-163.25	450.852	19.4369
64	0	-123.415	492.867	17.5626	-189.645	407.447	21.6058	-144.843	399.211	23.1332	-195.223	478.032	18.2355	-163.252	451.607	19.7546
65	0	-123.409	492.827	17.6044	-189.602	407.453	21.5915	-144.893	399.186	23.1005	-195.227	478.034	18.2584	-163.238	451.722	19.8643
66	0	-123.636	492.951	17.2985	-189.624	407.444	21.6258	-145.008	398.608	22.5392	-195.201	478.03	18.2391	-163.311	451.528	19.7237
